标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡),面积_数值,总价_数值,单价_数值,建造年份_数值,房间数
年底急售可谈，扎根10年，南北通透三房两卫，3字头！,3室2厅2卫,90.3㎡,南北,中层(共18层),2000年建造,香蜜三村,福田,景田南,景田南四街30号,"南北,满五年,近地铁",339.0,37542元/㎡,90.3,339.0,37542.0,2000.0,3.0
鸿荣源珈誉府~带车位~采光充足~交通便利~,3室2厅2卫,94.1㎡,南北,低层(共48层),2023年建造,鸿荣源珈誉府1区,宝安,塘尾,沙井南环路,"南北,满二年,近地铁,次新房",413.0,43890元/㎡,94.1,413.0,43890.0,2023.0,3.0
可谈高性价比，莲花北电梯诚售，看房方便,2室2厅1卫,84㎡,南北,中层(共28层),1996年建造,莲花北村,福田,莲花北,莲花路1116号,"南北,满五年,近地铁,绿化率高",435.0,51786元/㎡,84.0,435.0,51786.0,1996.0,2.0
地铁口新上房源颐安都会厅出南北通透，中间楼层看花园，可谈,3室2厅2卫,88.57㎡,南北,中层(共30层),2016年建造,颐安都会中央(二期),龙岗,大运,"龙岗大道,近爱南路","南北,满五年,近地铁,车位充足",331.0,37372元/㎡,88.57,331.0,37372.0,2016.0,3.0
福田次新小区，户型方正，高楼层，采光通风好,3室2厅2卫,122.39㎡,南,高层(共44层),2019年建造,天健天骄,福田,景田北,"景田西路,近商报路","南,满二年,近地铁,采光较好",1299.0,106137元/㎡,122.39,1299.0,106137.0,2019.0,3.0
2026  颐安109平4房，付70个上车，有钥匙9满五年！,4室2厅2卫,109.6㎡,南北,低层(共29层),2019年建造,颐安都会中央(三期),龙岗,大运,龙飞大道,"南北,满五年,近地铁,车位充足",499.0,45530元/㎡,109.6,499.0,45530.0,2019.0,4.0
产权清晰 带电梯 次新小区 商业配套成熟 装修好 实用型,4室2厅2卫,89.32㎡,西北,低层(共24层),2018年建造,东方盛世花园,布吉,布吉关,龙岗大道,"西北,唯一住房,近地铁,户型方正",330.0,36946元/㎡,89.32,330.0,36946.0,2018.0,4.0
4）字头！三房两卫看莲花山景观，近市民中心，高铁直达香港,3室2厅2卫,105㎡,东,高层(共29层),2001年建造,时代华庭,福田,景田南,商报东路15号,"东,满五年,近地铁",459.0,43715元/㎡,105.0,459.0,43715.0,2001.0,3.0
壹成中心第三区 商业配套齐全 次新房 医疗配套成熟 双卫生间,3室2厅2卫,81.07㎡,南,高层(共39层),2020年建造,壹成中心第三区,龙华,龙华中心区,工业路,"南,满五年,近地铁,户型方正",325.0,40089元/㎡,81.07,325.0,40089.0,2020.0,3.0
香蜜湖熙园，新上低密度洋房，上下四层，实用面积大，诚心出售,4室2厅2卫,288㎡,南北,共5层,2003年建造,熙园,福田,香蜜湖,香蜜湖路3012号,"南北,有电梯,近地铁,绿化率高",5000.0,173612元/㎡,288.0,5000.0,173612.0,2003.0,4.0
新上好房急售，高层3房，西南朝向，采光极好，精装修，拎包入住,3室2厅2卫,104.33㎡,西南,高层(共32层),2019年建造,合正丹郡,布吉,丹竹头,沙平南路123号,"西南,满二年,近地铁",270.0,25880元/㎡,104.33,270.0,25880.0,2019.0,3.0
鸿荣源尚云 精装可拎包入住,3室2厅2卫,89㎡,南北,高层(共56层),2025年建造,鸿荣源尚云,龙华,锦绣江南,龙峰一路,"南北,有电梯,近地铁,次新房",492.0,55281元/㎡,89.0,492.0,55281.0,2025.0,3.0
凤凰城278.个 入手深房光明里 精装三房 核心地段送家私电,3室2厅1卫,81.53㎡,东,高层(共32层),2023年建造,深房光明里,光明,光明,德雅路,"东,满二年,近地铁,次新房",322.0,39495元/㎡,81.53,322.0,39495.0,2023.0,3.0
保税区无二套，全部朝南电梯小高层，正规三房两卫，可改四房,3室2厅2卫,101.54㎡,南北,低层(共16层),1999年建造,新桂花村,福田,皇岗,菩提路,"南北,近地铁",589.0,58007元/㎡,101.54,589.0,58007.0,1999.0,3.0
4 5 0 急出，新上    ，朝南，住家装修三房，看房方便,3室2厅2卫,97.74㎡,南,高层(共32层),2002年建造,君逸华府,罗湖,布心,太白路3033号,"南,满五年,近地铁,绿化率高",500.0,51157元/㎡,97.74,500.0,51157.0,2002.0,3.0
东岭102平高楼层（450萬急售变现）只要契税价格可以谈,3室2厅2卫,102㎡,东南,中层(共45层),2020年建造,深业东岭,罗湖,黄贝岭,深南东路1002号,"东南,满五年,近地铁,采光较好",450.0,44118元/㎡,102.0,450.0,44118.0,2020.0,3.0
富通上舍 南向 精装 3室 115.96m，总裁海景！！！,3室2厅2卫,115.96㎡,西南,高层(共20层),2023年建造,富通九曜公馆,福田,新洲,新沙路18号,"西南,满二年,近地铁,次新房",750.0,64678元/㎡,115.96,750.0,64678.0,2023.0,3.0
万科城 商业配套齐全 高楼层视野无遮挡 双卫格局 带电梯,3室2厅2卫,122.91㎡,南,高层(共32层),2004年建造,万科城,龙岗,万科城,坂雪岗大道,"南,满五年,近地铁,车位充足",520.0,42308元/㎡,122.91,520.0,42308.0,2004.0,3.0
深圳湾次新房高赠送户型凤凰楼层观深圳湾海景和香港,4室2厅3卫,228㎡,南,高层(共46层),2016年建造,恒裕滨城(二期),南山,后海,中心路2001号,"南,近地铁,车位充足,采光较好",6250.0,274123元/㎡,228.0,6250.0,274123.0,2016.0,4.0
观湖园 下叠三层低密度社区 南北通透 商品房 近地铁,5室3厅4卫,167.28㎡,南北,共3层,2010年建造,观湖园,龙华,观澜,泗黎路408-1号,"南北,满五年",700.0,41847元/㎡,167.28,700.0,41847.0,2010.0,5.0
万达广场对面高端大盘牧马湖，来电送车位一个，拎包入住，可议价,4室2厅2卫,89.96㎡,南北,中层(共33层),2019年建造,泰丰牧马湖,深圳周边,惠州,大亚湾大道,"南北,满五年,多人关注",56.0,6225元/㎡,89.96,56.0,6225.0,2019.0,4.0
收租王！！！带家私电！可租4000！！有红本可按揭！！,3室2厅1卫,89㎡,南北,低层(共14层),2020年建造,雅庭苑,宝安,西乡,内环路,"南北,满五年,近地铁,人气热搜",128.5,14439元/㎡,89.0,128.5,14439.0,2020.0,3.0
上新好房 送车位 商圈成熟 临地铁 可按揭 产权清晰 包税,3室2厅2卫,80㎡,南,低层(共26层),2017年建造,固戍华庭,宝安,固戍,固戍一路38号,"南,满五年,近地铁,绿化率高",105.0,13125元/㎡,80.0,105.0,13125.0,2017.0,3.0
前海低密山居！观山海花园南北通透3-4房，近地铁享生态园林!,3室2厅2卫,95㎡,南,,2026年建造,观山海家园,南山,前海,招商兴海大道东侧，沿山路南侧,"厨卫全明,主卧套房,南北通透,轨交房",741.0,78000元/㎡,95.0,741.0,78000.0,2026.0,3.0
（急售）新上笋盘，业主已看中房子下定金，这套市场成交价格可卖,3室2厅2卫,84.98㎡,南北,中层(共37层),2022年建造,中海寰宇时代,光明,光明,明政路,"南北,满五年,近地铁,次新房",385.0,45305元/㎡,84.98,385.0,45305.0,2022.0,3.0
阳光海洋房复式，使用面积300多，还有私家露台，真舒服,5室2厅4卫,169.56㎡,南北,共4层,2008年建造,泰华阳光海,宝安,碧海湾,悦和路6号,"南北,满五年,近地铁,车位充足",1298.0,76552元/㎡,169.56,1298.0,76552.0,2008.0,5.0
畔山美地嘉园 中间楼层采光好 双卫格局 南北通透 次新小区,3室2厅2卫,89㎡,南北,中层(共25层),2020年建造,畔山美地嘉园,宝安,桃源居,前进二路,"南北,满五年,近地铁,多人关注",235.0,26405元/㎡,89.0,235.0,26405.0,2020.0,3.0
南山第四代住宅 前海新规100得房率 南北通三房,3室2厅2卫,96㎡,南,,2027年建造,自贸·湾啟紫荆,南山,前海,妈湾听海大道与妈湾一路交汇处西南角(距5号线妈湾地铁站约550米),"主卧套房,厨卫全明,客餐厅相连,多轨交",1028.0,107084元/㎡,96.0,1028.0,107084.0,2027.0,3.0
清盘180万 买南山深圳湾新房 看海景 带燃气 双面采光,2室2厅1卫,60㎡,南,,2027年建造,望海玥(新房),南山,蛇口,望海路与湾厦路交会处,"卧室全朝南,厨卫全明,私密性好,多轨交",452.0,75334元/㎡,60.0,452.0,75334.0,2027.0,2.0
新上笋盘，总监  ！！业主诚意出售，福外本部  空置,4室2厅2卫,99.18㎡,东,高层(共6层),1998年建造,天健花园(福田),福田,景田北,景田北六街2号,"东,满二年,近地铁,绿化率高",965.0,97298元/㎡,99.18,965.0,97298.0,1998.0,4.0
万象城幸福里 2房高层无遮挡价格可沟通 全新家私 红本诚售.,2室2厅2卫,95.95㎡,东北,中层(共48层),2010年建造,幸福里,罗湖,蔡屋围,宝安南路1661号,"东北,满五年,近地铁,车位充足",720.0,75040元/㎡,95.95,720.0,75040.0,2010.0,2.0
深房传麒山 环境好 临地铁 商品房 交通便捷 南北通透,5室2厅3卫,174.77㎡,南北,低层(共15层),2013年建造,深房传麒山,光明,光明,二十七号路,"南北,满五年,近地铁,绿化率高",880.0,50352元/㎡,174.77,880.0,50352.0,2013.0,5.0
法拍房可看房2.2   美荔园4房441万起拍 包收楼可按揭,4室2厅2卫,157.45㎡,南北,中层(共30层),2002年建造,美荔园,罗湖,蔡屋围,红岭中路1018号,"南北,满五年,近地铁,绿化率高",441.4,28035元/㎡,157.45,441.4,28035.0,2002.0,4.0
全新装修，   ，中银花园2房诚心出售,2室2厅1卫,84.79㎡,东北,高层(共32层),1997年建造,中银花园,福田,福田中心区,福中一路1006号,"东北,满五年,近地铁,车位充足",391.0,46114元/㎡,84.79,391.0,46114.0,1997.0,2.0
年底开发商  回笼资金   处理.  代理,1室0厅0卫,157㎡,南,,2019年建造,京基·御景峯,南山,大学城,塘长路与留仙大道交叉路口往东约100米,轨交房,830.0,52867元/㎡,157.0,830.0,52867.0,2019.0,1.0
业主着急出，南北通，价格还要空间，我有业主底价，看房随时！,4室2厅2卫,152.23㎡,东南,中层(共33层),2011年建造,波托菲诺香山里,南山,华侨城,侨北三街8号,"东南,满五年,近地铁,采光较好",1250.0,82113元/㎡,152.23,1250.0,82113.0,2011.0,4.0
香蜜湖 次新豪宅天健天骄大三房，采光视野好，诚心出售,4室2厅3卫,123.21㎡,东南,中层(共45层),2019年建造,天健天骄,福田,景田北,"景田西路,近商报路","东南,有电梯,近地铁",1236.0,100317元/㎡,123.21,1236.0,100317.0,2019.0,4.0
南山中心区  珑秀公馆  来电可享85折团购 500万起,3室2厅2卫,81.19㎡,南,,2027年建造,珑秀公馆,福田,福田中心区,建瓴路南山建工村西南侧约140米,"厨卫全明,私密性好,主卧套房,轨交房",508.0,62570元/㎡,81.19,508.0,62570.0,2027.0,3.0
带私家露台，精装3房2卫，南北通透户型，大社区环境安静,3室2厅2卫,108.08㎡,南,中层(共6层),2007年建造,中海半山溪谷,盐田,盐田,中青路8号,"南,唯一住房,近地铁,绿化率高",350.0,32384元/㎡,108.08,350.0,32384.0,2007.0,3.0
年底大折扣 高端品质住宅 102-187平,4室2厅2卫,127㎡,南,,2027年建造,美盛·梧桐印海,盐田,沙头角,梧桐路与上梧桐路交汇处,"厨卫全明,卧室全朝南,南北通透,轨交房",635.0,50000元/㎡,127.0,635.0,50000.0,2027.0,4.0
带大花园南北通，中海天钻3房，近地铁口，精装修，拎包入住，,3室2厅1卫,101㎡,南北,低层(共39层),2017年建造,中海天钻,罗湖,蔡屋围,滨河路1015号,"南北,近地铁,车位充足,户型方正",820.0,81189元/㎡,101.0,820.0,81189.0,2017.0,3.0
石岩 南北通透 交通便捷 近地铁 小区新 产权清晰 双卫格局,3室2厅2卫,96.92㎡,南北,低层(共45层),2016年建造,嘉信云峰公馆,宝安,石岩,横坑工业大道2号,"南北,满五年,近地铁",310.0,31986元/㎡,96.92,310.0,31986.0,2016.0,3.0
正南户型带平台200平，精心装修拎包可入住 看房方便,3室2厅2卫,95㎡,南,低层(共29层),2018年建造,京基御景中央(二期),龙岗,大运,飞扬路,"南,有电梯,近地铁,车位充足",399.0,42000元/㎡,95.0,399.0,42000.0,2018.0,3.0
过年住新房 紧邻地铁 南向看花园   即过户 可谈价 满五,3室2厅2卫,91㎡,南北,中层(共17层),2015年建造,南国春天花园,宝安,沙井,永福路,"南北,满五年,车位充足",105.0,11539元/㎡,91.0,105.0,11539.0,2015.0,3.0
装修家私全送 直接节省30万 锦龙地铁口 君胜熙玥湾,3室2厅2卫,79㎡,东北,低层(共33层),2024年建造,君胜熙玥湾,坪山,坪山,坪联路,"东北,满五年,近地铁,次新房",195.0,24684元/㎡,79.0,195.0,24684.0,2024.0,3.0
水岸新都 业主急售！！豪华大平层 精装修 南北通透双阳台！！,5室2厅3卫,163.46㎡,东南,中层(共28层),2021年建造,水岸新都(五期),龙岗,龙岗中心城,"丰都一路,近坪西路","东南,满五年,近地铁,次新房",300.0,18354元/㎡,163.46,300.0,18354.0,2021.0,5.0
深高北  高楼层采光好 超高使用率 业主装修好自己都没住,4室2厅2卫,93.5㎡,南北,高层(共32层),2019年建造,金亨利瑜璟苑,龙华,深圳北站,白松一路118号,"南北,满五年,近地铁",1250.0,133690元/㎡,93.5,1250.0,133690.0,2019.0,4.0
讲300个，全新装修，福田高铁站旁,3室2厅1卫,103㎡,南北,中层(共18层),2000年建造,香蜜三村,福田,景田南,景田南四街30号,"南北,满五年,近地铁",479.0,46505元/㎡,103.0,479.0,46505.0,2000.0,3.0
西乡地铁口，东南向正规三房，赠送露台,3室2厅1卫,93.22㎡,东南,中层(共9层),2002年建造,大益广场,宝安,西乡,"共和工业路,近西乡大道","东南,房东发布,满五年,近地铁",350.0,37546元/㎡,93.22,350.0,37546.0,2002.0,3.0
128J AN  ，口岸品质两房！,2室1厅1卫,38㎡,南,低层(共31层),1983年建造,德兴大厦,罗湖,人民南,建设路1050号,"南,满五年,近地铁",130.0,34211元/㎡,38.0,130.0,34211.0,1983.0,2.0
结合所有优点，躲避所有 点，它就是经典。,3室2厅1卫,67㎡,南北,低层(共28层),2019年建造,蚝业雅苑,宝安,西乡,盐田新一村九巷,"南北,满五年,近地铁,人气热搜",116.0,17314元/㎡,67.0,116.0,17314.0,2019.0,3.0
高档小区 人文荟萃 高品质的象征 体验奢华生活,3室2厅2卫,60.15㎡,南,中层(共17层),2018年建造,中山苑,南山,南头,南山大道3128号,"南,满五年,近地铁,多人关注",82.0,13633元/㎡,60.15,82.0,13633.0,2018.0,3.0
急！雅居苑 红本按揭过户 送车位 租金4千 来电咨询打5折,3室15厅1卫,99㎡,南北,中层(共14层),2010年建造,雅居苑,宝安,西乡,宝安大道1010号,"南北,满五年,近地铁",112.0,11314元/㎡,99.0,112.0,11314.0,2010.0,3.0
黄贝岭正规三房，地铁口物业，精装修，近指导价出售,3室2厅2卫,92.48㎡,东,中层(共45层),2017年建造,深业东岭,罗湖,黄贝岭,深南东路1002号,"东,满五年,近地铁",485.0,52444元/㎡,92.48,485.0,52444.0,2017.0,3.0
龙华中心区，精装大户型，业主急售，价格可谈，满五，出门大商场,5室2厅2卫,163.02㎡,南北,低层(共32层),2011年建造,锦绣御园,龙华,龙华,高翔路28号,"南北,满五年,近地铁",550.0,33739元/㎡,163.02,550.0,33739.0,2011.0,5.0
（坂田核心）（楼层任选）（350还能砍！！）,3室2厅2卫,89㎡,南,,2026年建造,远洋天萃世纪,龙岗,坂田,地铁10号线光雅园站B出口,"厨卫全明,私密性好,客餐厅相连,多轨交",434.0,48765元/㎡,89.0,434.0,48765.0,2026.0,3.0
溪山美地园 临地铁 双卫生间 南向采光好 产权清晰 电梯房,4室2厅2卫,142.88㎡,南,低层(共31层),2009年建造,溪山美地园,龙华,梅林关口,梅坂大道236号,"南,满五年,近地铁",868.0,60751元/㎡,142.88,868.0,60751.0,2009.0,4.0
罗湖22年次新花园社区  二百多万买两房 精装,2室2厅1卫,60.97㎡,南北,中层(共51层),2022年建造,悦峰华府,罗湖,草埔,木棉岭路4号,"南北,满五年,近地铁,次新房",236.0,38708元/㎡,60.97,236.0,38708.0,2022.0,2.0
合昌十里花都精装三房两卫，近万科里商业，地铁，中低楼层朝南,3室2厅2卫,90.03㎡,东南,低层(共48层),2024年建造,和昌拾里花都,龙岗,南联,下龙塘路,"东南,满二年,近地铁,次新房",228.0,25325元/㎡,90.03,228.0,25325.0,2024.0,3.0
宝安中心次新小区 玖玖颂阁业主诚出     精装修送家私电,3室2厅2卫,89.74㎡,南,高层(共31层),2024年建造,玖玖颂阁,宝安,流塘,新安四路265号,"南,满二年,近地铁",478.0,53265元/㎡,89.74,478.0,53265.0,2024.0,3.0
停车方便 临地铁 双卫 小三居 带电梯 商业配套齐全,3室2厅2卫,89㎡,东南,低层(共31层),2017年建造,宏发天汇城(一期),光明,公明,松白路4699号,"经纪人力荐,东南,有电梯,近地铁",305.0,34270元/㎡,89.0,305.0,34270.0,2017.0,3.0
宝安豪宅小区 华丰前海湾 89平双龙抱珠 看海景东南向诚意售,3室2厅2卫,83㎡,南,低层(共31层),2016年建造,华丰前海湾(一期),宝安,西乡,兴业路,"南,唯一住房,近地铁,车位充足",530.0,63856元/㎡,83.0,530.0,63856.0,2016.0,3.0
西丽地铁口大三房！业主诚心出售！,3室2厅2卫,103.5㎡,西北,低层(共22层),2004年建造,南国丽城,南山,西丽,留仙大道1306号,"西北,满五年,近地铁",626.0,60484元/㎡,103.5,626.0,60484.0,2004.0,3.0
宝安笋盘！凤凰世纪花园 租金3q       送车位,3室2厅2卫,75㎡,南北,低层(共26层),2019年建造,凤凰世纪花园,宝安,塘尾,大洋路168号,"南北,满五年,近地铁",95.0,12667元/㎡,75.0,95.0,12667.0,2019.0,3.0
观望一次涨一次，朋友，是不是还要重复  的故事,3室2厅2卫,85㎡,南,中层(共25层),2006年建造,凤凰世纪花园,宝安,塘尾,大洋路168号,"南,满五年,近地铁",120.0,14118元/㎡,85.0,120.0,14118.0,2006.0,3.0
荣超新出89平大三房   小区俩   看房随时方便！,3室2厅1卫,89㎡,南北,低层(共41层),2016年建造,城市春天花园,福田,华强南,福华路30号,"南北,满五年,近地铁",530.0,59551元/㎡,89.0,530.0,59551.0,2016.0,3.0
园岭新村大三房 总价4字头   3楼 看房方便 价格可谈,3室2厅1卫,95㎡,南北,中层(共8层),1982年建造,园岭新村,福田,园岭,笋岗西路2057号,"南北,满五年,近地铁",449.0,47264元/㎡,95.0,449.0,47264.0,1982.0,3.0
深圳湾一号T5栋超高层520平户型，奢阔大户型！,4室3厅5卫,513.44㎡,东西,中层(共49层),2016年建造,深圳湾一号,南山,后海,中心路3008号,"东西,优势户型,随时可看",14500.0,282409元/㎡,513.44,14500.0,282409.0,2016.0,4.0
宝安中心 三房478      底价找立国,3室2厅1卫,80.24㎡,南北,高层(共24层),2007年建造,御景湾,宝安,宝安中心区,玉林路5号,"南北,近地铁",478.0,59572元/㎡,80.24,478.0,59572.0,2007.0,3.0
锦田深中   （4 3 .0）诚心卖正规三房厅出阳台,3室2厅1卫,85.82㎡,南,高层(共7层),1986年建造,马古岭小区,罗湖,翠竹,翠竹路1147号,"南,满五年,近地铁,户型方正",490.0,57097元/㎡,85.82,490.0,57097.0,1986.0,3.0
世纪村 近地铁 精装可拎包入住 近医院 满五   正规商品房,6室3厅4卫,364.11㎡,南,高层(共15层),2001年建造,世纪村,南山,华侨城,沙河东路118号,"南,满五年,近地铁,车位充足",3024.0,83052元/㎡,364.11,3024.0,83052.0,2001.0,6.0
万科香蜜府新出41房，正看社区园林，楼下就是商超配套,5室2厅2卫,179.17㎡,南北,低层(共39层),2021年建造,万科香蜜府,福田,香蜜湖,安托山四路,"南北,近地铁,车位充足",2580.0,143998元/㎡,179.17,2580.0,143998.0,2021.0,5.0
华润置地笋岗中心 3室2厅 1000.0万,3室2厅2卫,116.05㎡,南,低层(共54层),2023年建造,笋岗中心万象华府(公寓住宅),罗湖,笋岗,梅园路,"南,有电梯,近地铁,车位充足",1000.0,86170元/㎡,116.05,1000.0,86170.0,2023.0,3.0
3 字头上车民治片区 阳光新境园三房一卫 华侨地铁口成熟配套,3室2厅1卫,79.98㎡,东南,低层(共30层),2007年建造,阳光新境园,龙华,民治,梅龙南路,"东南,房东认证,满五年,近地铁",338.0,42261元/㎡,79.98,338.0,42261.0,2007.0,3.0
城市绿洲花园方正大两房出售，看公园景观，无遮挡，高楼层,2室2厅1卫,83.95㎡,南,高层(共24层),2001年建造,城市绿洲花园,福田,华强北,深南中路4020号,"南,满五年,近地铁,绿化率高",660.0,78619元/㎡,83.95,660.0,78619.0,2001.0,2.0
百花加深实验双配置！长城二花园南北精装2室2厅87平 ！,2室2厅1卫,86.5㎡,南北,中层(共18层),1989年建造,长城二花园,福田,百花,百花六路27号,"南北,满五年,近地铁",745.0,86128元/㎡,86.5,745.0,86128.0,1989.0,2.0
信义御城(一期) 南北通透 四房两卫 配套齐全 满五年 税少,4室2厅2卫,112㎡,南北,低层(共33层),2013年建造,信义御城(一期),龙岗,横岗,"松茂路,近松柏路","南北,满五年,近地铁",320.0,28572元/㎡,112.0,320.0,28572.0,2013.0,4.0
圣莫丽斯总价很低的联排别墅，东西双  ，诚意出售,5室2厅4卫,286㎡,东,共4层,2004年建造,圣莫丽斯(别墅),龙华,民治,玉龙路1号,"东,近地铁,绿化率高",2888.0,100980元/㎡,286.0,2888.0,100980.0,2004.0,5.0
鹏瑞颐璟府 正南朝向 精装修 满五   小三居 双卫格局,3室2厅2卫,89.91㎡,南,低层(共32层),2020年建造,鹏瑞颐璟府,龙华,观澜,"五和大道,近澜清一路","南,房东发布,满五年,近地铁",349.0,38817元/㎡,89.91,349.0,38817.0,2020.0,3.0
深圳北站星河双商圈，装修自住保养好,3室2厅1卫,76.24㎡,南,中层(共30层),2013年建造,星河盛世,龙华,梅林关口,梅龙路2号,"南,满五年,近地铁,绿化率高",450.0,59025元/㎡,76.24,450.0,59025.0,2013.0,3.0
中航格澜阳光花园(二期)   笋盘产证面积134平套内174,5室2厅2卫,134.23㎡,南,低层(共11层),2006年建造,中航格澜阳光花园(二期),龙华,观澜,大和路85号,"南,满五年,近地铁,车位充足",498.0,37101元/㎡,134.23,498.0,37101.0,2006.0,5.0
香港业主急售，送车位 来电可少8达不溜，家私家电不带走，,3室2厅2卫,95.3㎡,南北,高层(共32层),2018年建造,珠江四季悦城,深圳周边,惠州,龙海二路,"南北,满五年,车位充足",55.3,5803元/㎡,95.3,55.3,5803.0,2018.0,3.0
园中花园业主自住，高楼层看房方便价格可谈，户型方正,3室2厅2卫,104.26㎡,南北,高层(共31层),1996年建造,园中花园,福田,园岭,园岭四街2号,"南北,近地铁",650.0,62345元/㎡,104.26,650.0,62345.0,1996.0,3.0
坪山 精装好房 南北通透 近地铁 满五   中间好楼层,3室2厅1卫,77.54㎡,南北,中层(共33层),2015年建造,大东城(二期),坪山,坪山,行政九路2号,"南北,满五年,近地铁,户型方正",89.9,11595元/㎡,77.54,89.9,11595.0,2015.0,3.0
信义金御山居 精装好房 高楼层采光充足 刚需小三居 随时看房,3室2厅2卫,84㎡,南,高层(共32层),2023年建造,信义金御山居,龙岗,横岗,广达路27号,"南,满二年,近地铁,人气热搜",244.0,29048元/㎡,84.0,244.0,29048.0,2023.0,3.0
全屋定制！鸿翔花园 南向3房 置换急卖！随时可看，价格可谈！,3室2厅1卫,98.35㎡,南北,高层(共33层),2005年建造,鸿翔花园,罗湖,国贸,松园路68号,"南北,满五年,近地铁,采光较好",699.0,71073元/㎡,98.35,699.0,71073.0,2005.0,3.0
近地铁 有电梯 商品住宅 出行方便 双卫生间 近医院,3室2厅1卫,84.12㎡,南,中层(共33层),2013年建造,文峰华庭,布吉,南岭,南园路4号,"南,满五年,近地铁,户型方正",318.0,37804元/㎡,84.12,318.0,37804.0,2013.0,3.0
丹竹头地铁口，嘉隔有惊喜，高层精装三房，业主急卖用钱,3室2厅1卫,89.35㎡,南北,高层(共18层),2006年建造,英郡年华,布吉,丹竹头,岭背路3号,"南北,满五年,近地铁",290.0,32457元/㎡,89.35,290.0,32457.0,2006.0,3.0
坪山中心区 高赠送        产权清晰 朝南看花园,3室2厅1卫,77.54㎡,南北,中层(共33层),2015年建造,大东城(二期),坪山,坪山,行政九路2号,"南北,满五年,近地铁,户型方正",89.9,11595元/㎡,77.54,89.9,11595.0,2015.0,3.0
"豪庭(南山)，朝南精装3房,户型正气,楼层好,价格可谈！",3室2厅2卫,80㎡,南,中层(共11层),2012年建造,黄金豪庭(南山),南山,南油,粤海路13号,"南,满五年,近地铁,多人关注",140.0,17500元/㎡,80.0,140.0,17500.0,2012.0,3.0
中建鹏宸云筑  来电可享额外85折团购 个人 再补贴10万,2室2厅2卫,91㎡,南,,2026年建造,中建壹品·湖北文旅·鹏宸云筑,龙华,民治,华南路与民乐路交汇处西北侧,"卧室全朝南,南北通透,厨卫全明,轨交房",514.0,56484元/㎡,91.0,514.0,56484.0,2026.0,2.0
鸿荣源珈誉府2区 电梯房 满五   商圈成熟 精装修 小三居,3室2厅2卫,94.33㎡,东南,中层(共45层),2024年建造,鸿荣源珈誉府2区,宝安,塘尾,宝安大道,"东南,满五年,近地铁,次新房",344.0,36468元/㎡,94.33,344.0,36468.0,2024.0,3.0
潜龙花园 高楼层视野好 交通便捷 商品房 满五,3室2厅1卫,94.79㎡,东,高层(共8层),1997年建造,潜龙花园,龙华,民治,民治大道217号,"东,满五年,近地铁,采光较好",280.0,29539元/㎡,94.79,280.0,29539.0,1997.0,3.0
华瑞阁~交通方便~楼层好~户型方正~房龄新,3室2厅2卫,76.1㎡,南北,低层(共17层),2019年建造,华瑞阁,宝安,沙井,上星路,"南北,满五年,近地铁,多人关注",97.0,12747元/㎡,76.1,97.0,12747.0,2019.0,3.0
抢占宝安核心区品质3房，业主置换南山惜售，价格美丽！！,3室2厅2卫,89.74㎡,南,高层(共31层),2024年建造,玖玖颂阁,宝安,流塘,新安四路265号,"南,满二年,近地铁,次新房",580.0,64632元/㎡,89.74,580.0,64632.0,2024.0,3.0
急售！ 价了，  ，  配套好房 网红水榭春天大花园厅出三房,3室2厅1卫,77㎡,南,中层(共33层),2011年建造,莱蒙水榭春天(一二三期),龙华,莱蒙水榭春天,人民路2056号,"南,满五年,近地铁,采光较好",448.0,58182元/㎡,77.0,448.0,58182.0,2011.0,3.0
南威中心花园 满五   交通便捷 朝南 商圈成熟,5室2厅1卫,76㎡,南,低层(共7层),1993年建造,南威中心花园,布吉,南岭,湖东路58号,"南,满五年,近地铁,采光较好",160.0,21053元/㎡,76.0,160.0,21053.0,1993.0,5.0
（实拍）带固定停车位，业主诚心卖，价格可谈,3室2厅2卫,111.58㎡,南,低层(共31层),2008年建造,海馨苑,福田,百花,华强北路4005号,"南,有电梯,近地铁",707.0,63363元/㎡,111.58,707.0,63363.0,2008.0,3.0
靖轩豪苑，朝南三房，户型方正，厅出阳台，价格可谈,3室2厅1卫,86.53㎡,东南,高层(共32层),2015年建造,靖轩豪苑,罗湖,黄贝岭,深南东路1034号,"东南,满五年,近地铁,户型方正",509.0,58824元/㎡,86.53,509.0,58824.0,2015.0,3.0
带电梯 商品住宅 南北通透 小三房 高楼层采光充足 双卫格局,3室2厅2卫,98.95㎡,南北,高层(共42层),2020年建造,万丰海岸城,宝安,马安山,万丰中路245号,"南北,有电梯,近地铁",420.0,42446元/㎡,98.95,420.0,42446.0,2020.0,3.0
海岸城精装小三房 次新房 近地铁 电梯房 双卫,3室2厅2卫,90㎡,南北,低层(共39层),2019年建造,万丰海岸城,宝安,马安山,万丰中路245号,"南北,满五年,近地铁",340.0,37778元/㎡,90.0,340.0,37778.0,2019.0,3.0
润城花园 南向电梯三房出售 红本满五年 近地铁,3室2厅1卫,83.57㎡,南北,低层(共12层),2004年建造,润城花园,南山,西丽,龙井路348号,"南北,满五年,近地铁",500.0,59831元/㎡,83.57,500.0,59831.0,2004.0,3.0
