标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡)
香山里 荀的一套，诚心出售，安静，看花园,3室2厅2卫,151.55㎡,南北,高层(共33层),2011年建造,波托菲诺香山里,南山,华侨城,侨北三街8号,"南北,满五年,近地铁,采光较好",1230,81162元/㎡
龙华中心区，精装大户型，业主急售，价格可谈，满五，出门大商场,5室2厅2卫,163.02㎡,南北,低层(共32层),2011年建造,锦绣御园,龙华,龙华,高翔路28号,"南北,满五年,近地铁",550,33739元/㎡
龙岗中心城 得房率高 精装修 高绿化 近地铁 商业配套齐全,3室2厅2卫,104.39㎡,东西,中层(共11层),2005年建造,风临四季,龙岗,龙岗中心城,鸿基路17号,"东西,满五年,近地铁,绿化率高",118,11304元/㎡
聚豪国际 精装修3居室 双车位 首次出售 家具家电齐全,3室2厅2卫,82㎡,南北,中层(共31层),2012年建造,聚豪国际,龙华,龙华,东环二路,"南北,满二年,近地铁,多人关注",160,19513元/㎡
硬核好房 地段配套双   花少钱享主城全配套,3室1厅0卫,84.71㎡,东南,低层(共32层),1991年建造,海富花园,罗湖,黄贝岭,深南东路1017号,"东南,满五年,近地铁,采光较好",265,31284元/㎡
南向采光好 交通便捷 电梯房 环境好 小三房 商品住宅,3室2厅1卫,94.77㎡,南,低层(共15层),2004年建造,万裕椰风海岸家园,南山,前海,桃李路33号,"南,优势户型",555,58563元/㎡
255福外南两房，红五  空置，看房方便，找我底价有惊喜,2室1厅1卫,63.87㎡,南,高层(共27层),2003年建造,城市3米6公寓,福田,保税区,绒花路138号,"南,满五年,近地铁",255,39925元/㎡
金地梅陇镇精装两房出售，业主诚心卖，性价比高,2室2厅1卫,70.83㎡,南,低层(共17层),2008年建造,金地梅陇镇(一二三期),龙华,民治,民安路136号,"南,满五年,近地铁,绿化率高",320,45179元/㎡
阳光海洋房复式，使用面积300多，还有私家露台，真舒服,5室2厅4卫,169.56㎡,南北,共4层,2008年建造,泰华阳光海,宝安,碧海湾,悦和路6号,"南北,满五年,近地铁,车位充足",1298,76552元/㎡
已出证！急急急！业主急售！御龙天地大三房 近地铁 看房方便,3室2厅2卫,108㎡,南,中层(共55层),2025年建造,御龙天地,罗湖,翠竹,华丽路,"南,近地铁,次新房,人气热搜",599,55463元/㎡
送家私电！！沙井星盛华庭 温馨两房 拎包入住 看房电话联系,2室2厅1卫,80㎡,东南,中层(共12层),2010年建造,星盛华庭,宝安,沙井,上德路,"东南,满五年,近地铁,多人关注",99,12375元/㎡
园岭加红岭双本部，业主置换诚心出售，看房方便价格好谈！,3室2厅1卫,84.33㎡,南,中层(共8层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南,热门小区,房东急售,随时可看",498,59054元/㎡
龙岗标杆！公园大地豪装南北通大四房 满五年近地铁 来电可看房,4室2厅2卫,140.97㎡,南北,高层(共11层),2015年建造,公园大地,龙岗,龙岗中心城,龙翔大道6063号,"南北,满五年,近地铁,车位充足",538,38165元/㎡
信义御城 精装四房 来电看房 楼下天虹商场 地铁口 价可谈,4室2厅2卫,113.81㎡,南北,中层(共32层),2020年建造,信义御城(一期),龙岗,横岗,"松茂路,近松柏路","南北,满五年,近地铁,户型方正",248,21791元/㎡
救命！精装两房配    ，急售拼手速，错过  ！,2室2厅1卫,66.46㎡,东,低层(共29层),2009年建造,诺德假日花园,南山,前海,前海路0369号,"东,满五年,近地铁,绿化率高",430,64701元/㎡
勤诚达365急售可谈可分期包税过户！送车位13号线地铁南向,4室2厅2卫,143.49㎡,南,中层(共48层),2020年建造,勤诚达正大城悦园,光明,光明,光侨路,"南,满五年",435,30316元/㎡
"两百九可以谈,西荟城，地铁口附近，业主诚心出售，看房方便",3室2厅2卫,89.99㎡,东南,低层(共32层),2015年建造,西荟城三期,宝安,沙井,"新沙路,近教育北路","东南,满五年,近地铁",310,34449元/㎡
总层11楼小高层住宅公园环绕，地铁便捷多所  环绕居家,3室2厅2卫,94.21㎡,南,低层(共11层),2021年建造,深铁瑞城,光明,光明,光侨路,"南,热门小区,近地铁,优势户型",448,47554元/㎡
南山 宝安 前海 正地铁口 叠加别墅 豪华装修 泰华阳光海,7室2厅2卫,170.04㎡,南北,共4层,2008年建造,泰华阳光海,宝安,碧海湾,悦和路6号,"南北,有电梯,近地铁,车位充足",1280,75277元/㎡
港丽豪园 商圈成熟 出行方便 豪华精装 环境优美 西南朝向,5室2厅3卫,131.06㎡,西南,中层(共41层),2003年建造,港丽豪园,福田,福田中心区,海田路2号,"西南,满五年,近地铁,绿化率高",890,67908元/㎡
颐安四期精装三房双卫中间楼层坐北朝南视野开阔直接可以拎包入住,3室2厅2卫,87.54㎡,南北,高层(共31层),2023年建造,颐安都会中央(四期),龙岗,大运,红棉路,"南北,近地铁,次新房,户型方正",314,35870元/㎡
两梯三户小高层的好房子公园大地精装三房好楼层视野无遮挡,3室2厅2卫,112.7㎡,南北,中层(共13层),2012年建造,公园大地,龙岗,龙岗中心城,龙翔大道6063号,"南北,近地铁,车位充足,采光较好",365,32387元/㎡
大社区配套完善龙园大观三房,3室2厅2卫,89㎡,西南,低层(共43层),2018年建造,朗泓龙园大观(一期),龙岗,龙岗中心城,福宁路189号,"西南,有电梯,近地铁,车位充足",235,26405元/㎡
福田带私家院子的房子，还带固定车位！,3室2厅1卫,98.59㎡,南北,低层(共8层),1984年建造,滨江新村,福田,上步,东园路77号,"南北,热门小区,房东急售,随时可看",438,44427元/㎡
悠山美地家园位于深圳市龙新区布龙路,3室2厅1卫,81.05㎡,西南,中层(共22层),2015年建造,悠山美地家园,龙华,大浪,布龙路,"西南,满二年,近地铁,车位充足",247,30476元/㎡
颐安都会中央三期 精装三房 朝南看花园 来电急售 有钥匙,3室2厅2卫,85㎡,东南,中层(共32层),2022年建造,颐安都会中央(三期),龙岗,大运,龙飞大道,"东南,满二年,近地铁,车位充足",313,36824元/㎡
今日推荐3房 （业主包税）可按揭！带全屋家私！送车位！有钥匙,3室2厅2卫,92.15㎡,南,中层(共13层),2018年建造,红山6979,龙华,民治,民繁路,"南,满五年,近地铁,车位充足",320,34726元/㎡
中海寰宇珑宸业主 了100 出价就卖精装修三房,3室2厅1卫,77.67㎡,南,低层(共43层),2023年建造,中海寰宇珑宸,龙岗,同乐,夏莲路,"南,满二年,近地铁,次新房",225,28969元/㎡
港丽豪园诚心出售，方正户型，通风采光佳，带地面花园与,3室2厅2卫,105.43㎡,南,低层(共41层),2003年建造,港丽豪园,福田,福田中心区,海田路2号,"南,满五年,近地铁,绿化率高",688,65257元/㎡
产证已出 双卫格局 医疗配套成熟 精装修 南北通透,3室2厅2卫,115㎡,南北,高层(共56层),2024年建造,御龙天地,罗湖,翠竹,华丽路,"南北,热门小区,房东急售,随时可看",720,62609元/㎡
业主出国不回来了急卖出售精装四房2卫，户型使用率高，,4室2厅2卫,128.15㎡,南北,中层(共32层),2015年建造,天峦湖,坪山,坪山,马峦南路8号,"南北,满五年,采光较好",388,30278元/㎡
业主诚心出售，看房方便,2室2厅2卫,95.68㎡,西北,中层(共48层),2009年建造,幸福里,罗湖,蔡屋围,宝安南路1661号,"西北,满五年,近地铁,车位充足",720,75251元/㎡
润峯府新出笋盘，性价比超高，业主诚心出,3室2厅2卫,110.63㎡,南,高层(共33层),2024年建造,润峯府,南山,前海,听海大道,"南,房东发布,满二年,近地铁",1088,98346元/㎡
2024年新房  看海景  无遮挡  价格可谈  随时看房,4室2厅2卫,146.05㎡,南,中层(共30层),2024年建造,尚悦府,福田,沙嘴,沙嘴中心街47号,"南,满二年,近地铁,次新房",1196,81890元/㎡
金融街旁万科花园社区，精装4房，跑马大阳台，配套齐全,4室2厅2卫,148.29㎡,南,高层(共27层),2004年建造,缇香名苑,福田,景田南,香梅路,"南,满五年,近地铁,绿化率高",1060,71482元/㎡
上屋地铁口（内部价168全抛，红本过户）银行按揭，送新家私电,3室2厅1卫,75.9㎡,南,高层(共45层),2020年建造,嘉信云峰公馆,宝安,石岩,横坑工业大道2号,"南,近地铁,价格优惠,房东急售",276,36364元/㎡
安静看花园，只有60户，有2个车位，欢迎咨询,4室2厅2卫,119.04㎡,南,低层(共30层),2003年建造,星河国际花园,福田,购物公园,福华三路289号,"南,满五年,近地铁,车位充足",1100,92406元/㎡
实地看过8次以上，高楼层厅出阳台3房，视野开阔，业主急卖!!,3室2厅1卫,85.77㎡,西北,高层(共32层),2006年建造,星海名城(五期),南山,前海,前海路3101号,"西北,满五年,近地铁,绿化率高",528,61560元/㎡
业主急急急 南向大两房 刚需上车   空出,2室2厅1卫,70.48㎡,南,低层(共9层),2001年建造,星海名城(一期),南山,前海,前海路3101号,"南,满五年,近地铁,绿化率高",385,54626元/㎡
前海花园新出两居室 有证    正南向 采光充足 无记录,3室2厅1卫,81.24㎡,西,中层(共17层),2004年建造,前海花园,南山,前海,桃园路288号,"西,满五年,近地铁,采光较好",380,46775元/㎡
京基御景中央(二期) 有电梯 商品住宅 小三房 满五,3室2厅2卫,94.91㎡,南,低层(共33层),2020年建造,京基御景中央(二期),龙岗,大运,飞扬路,"南,满五年,近地铁,车位充足",399.9,42135元/㎡
业主急售信义金御山居精装修三房两卫南北通透可拎包入住欢迎咨询,3室2厅2卫,84㎡,南北,高层(共32层),2020年建造,信义金御山居,龙岗,横岗,广达路27号,"热门小区,南北通透,满五",244,29048元/㎡
万科公园里全套家私打包一起卖 高楼层 南向,3室2厅2卫,89㎡,南,高层(共44层),2017年建造,万科公园里,布吉,南岭,樟富北路8号,"南,满二年,户型方正",300,33708元/㎡
26年全新上线的颐安二期厅出精装3房，满五年，密码随时看！,3室2厅2卫,87.84㎡,南,低层(共29层),2016年建造,颐安都会中央(二期),龙岗,大运,"龙岗大道,近爱南路","南,满五年,近地铁,车位充足",358,40756元/㎡
环境优美 临地铁 满五   医疗配套成熟 正规商品房 双卫,4室2厅2卫,97.44㎡,南,低层(共19层),2002年建造,丽景城,宝安,西乡,前进二路100号,"南,满五年,近地铁,绿化率高",439,45054元/㎡
急！急！急！地铁口业主诚心卖采光好,3室2厅2卫,111.46㎡,南,低层(共30层),2003年建造,俊景豪园,福田,景田北,香梅路2002号,"南,满五年,近地铁,采光较好",615,55177元/㎡
金地梅陇镇花园一期 南北 普装 3室 2厅 107.95m,3室2厅2卫,107.95㎡,南,中层(共24层),2006年建造,金地梅陇镇(一二三期),龙华,民治,民安路136号,"南,满五年,近地铁,绿化率高",488,45207元/㎡
蔚蓝铂樾府 正规商品房 小三房 交通便利 次新小区,3室2厅1卫,85.98㎡,西南,中层(共30层),2023年建造,卓越蔚蓝铂樾府,大鹏新区,葵涌,金葵东路,"西南,热门小区,近地铁,配套成熟",179,20819元/㎡
南山地铁口3XX三房 急卖 看房方便,3室2厅1卫,84.36㎡,东,中层(共23层),2000年建造,荔园大厦,南山,南山中心区,桂庙路24号,"东,满五年,近地铁,采光较好",338,40067元/㎡
中航格澜阳光花园(二期) 朝南 商品住宅 近地铁 装修好,3室2厅1卫,86㎡,南,低层(共18层),2007年建造,中航格澜阳光花园(二期),龙华,观澜,大和路85号,"南,满五年,近地铁,车位充足",300,34884元/㎡
全新未住过，新房，靠山靠水，实用率超高，近罗湖,4室2厅3卫,195.72㎡,南北,中层(共40层),2019年建造,国香山翡翠华庭,布吉,丹竹头,丹沙路,"南北,满五年,采光较好",610,31167元/㎡
花园环绕，人车分流，性价比高，益强加红岭，急售看房方便！！！,3室2厅2卫,95.22㎡,东,低层(共32层),2002年建造,新新家园,福田,石厦,石厦街35号,"东,唯一住房,近地铁,绿化率高",470,49360元/㎡
四百碗，地铁口三房，诚意出售,3室2厅2卫,96㎡,西南,高层(共32层),2022年建造,合正观澜汇(二期),龙华,龙华区政府,观澜大道115号,"西南,满五年,近地铁,次新房",395,41146元/㎡
福田中心区23年次新小区，现在业主急出,3室2厅2卫,98.31㎡,南,高层(共48层),2023年建造,福安瑞府,福田,福田中心区,彩田路,"南,热门小区,近地铁,新上小区",838,85241元/㎡
颐安四期精装三房双卫 中间楼层 坐北朝南 视野开阔 拎包入住,3室2厅2卫,89.92㎡,南,中层(共31层),2022年建造,颐安都会中央(四期),龙岗,大运,红棉路,"南,唯一住房,近地铁,次新房",316,35143元/㎡
福外本部 临地铁 精装修 购物方便 满五 安静,3室2厅2卫,103.27㎡,南,中层(共29层),1999年建造,景龙大厦,福田,景田北,"景田北三街,近商报东三路","南,满五年,近地铁",498,48224元/㎡
半山海景兰溪谷二期标准2房2厅1卫业主诚心卖看房方便有钥匙,2室2厅1卫,83.23㎡,南北,高层(共31层),2008年建造,半山海景兰溪谷(二期),南山,蛇口,沿山路6号,"南北,满五年,近地铁,绿化率高",700,84105元/㎡
出行方便 精装修 双卫格局 商圈成熟 满五   南北通透,3室2厅2卫,121.19㎡,南,高层(共30层),2009年建造,溪山美地园,龙华,梅林关口,梅坂大道236号,"南,满五年,近地铁",738,60897元/㎡
金地环湾城福田大社区新房，改善型，高品质 深圳湾边 红岭直属,2室2厅1卫,78㎡,东南,,2026年建造,金地环湾城,福田,沙嘴,福强路与沙嘴路交汇处（地铁7号线上沙站约235米）,"卧室全朝南,厨卫全明,户型方正,轨交房",890,114103元/㎡
荔园红岭小复式，全景落地窗三房，东向看荔枝公园，满五,3室2厅1卫,44.67㎡,东,高层(共22层),2005年建造,中泰燕南名庭,福田,华强北,燕南路88号,"经纪人力荐,东,热门小区,近地铁",300,67160元/㎡
桃源村二期，南北通三房出售，价格实惠。,3室2厅1卫,92.88㎡,北,高层(共20层),1999年建造,桃源村(二期),南山,桃源村,龙珠大道90号,"北,满五年,近地铁,采光较好",438,47158元/㎡
263还能谈（东南采光，刚需快看）红岭北地铁口,3室2厅1卫,102㎡,南北,中层(共32层),1998年建造,红岗大厦,罗湖,泥岗,红岗路1003号,"南北,满五年,近地铁,车位充足",263,25785元/㎡
福田新洲次新尚悦府 62平大2房 业主急售 精装拎包入住,2室2厅1卫,62.15㎡,北,中层(共31层),2024年建造,尚悦府,福田,沙嘴,沙嘴中心街47号,"北,满二年,近地铁,次新房",398,64039元/㎡
龙华核心区新盘4万单价 3地铁口交汇 自带商业,2室2厅1卫,67㎡,东南,,2027年建造,塘城NEXTTOWN,龙华,龙华,布龙路与建设东路交汇处南侧,"客餐厅相连,厨卫全明,卧室全朝南,多轨交",433,64627元/㎡
华侨城一手新房 精装现楼   即住 均价6万出头 看房接送,3室2厅2卫,153㎡,南,,2024年建造,深业世纪山谷花园,南山,大冲,沙河东路218号,"主卧套房,厨卫全明,私密性好,轨交房",1308,85491元/㎡
（坂田核心）（楼层任选）（350还能砍！！）,3室2厅2卫,89㎡,南,,2026年建造,远洋天萃世纪,龙岗,坂田,地铁10号线光雅园站B出口,"厨卫全明,私密性好,客餐厅相连,多轨交",434,48765元/㎡
南山第四代住宅 前海新规100得房率 南北通三房,3室2厅2卫,96㎡,南,,2027年建造,自贸·湾啟紫荆,南山,前海,妈湾听海大道与妈湾一路交汇处西南角(距5号线妈湾地铁站约550米),"主卧套房,厨卫全明,客餐厅相连,多轨交",1028,107084元/㎡
3.5万现房 70年产权 通燃气 带精装 来电享受额外,1室0厅0卫,157㎡,南,,2019年建造,京基·御景峯,南山,大学城,塘长路与留仙大道交叉路口往东约100米,轨交房,830,52867元/㎡
罗湖淘金山二期一手顶楼复式毛坯，上下三层带花园可加建免 拥,8室3厅4卫,174.54㎡,南北,高层(共32层),2015年建造,淘金山,罗湖,水库,翠荫路268号,"南北,满五年,近地铁",1200,68753元/㎡
南北通透名居山河里精装大四房 地铁口三百 安静舒适 来电看房,4室2厅2卫,142.06㎡,南北,低层(共48层),2023年建造,名居山河里(2期),龙岗,横岗,新园路,"南北,满二年,近地铁,次新房",302,21259元/㎡
朝向好 有电梯 商品房 次新小区 小三房 中间好楼层,3室2厅1卫,85.84㎡,西南,中层(共34层),2022年建造,玺悦台,坪山,坪山,宝横路,"西南,新上小区,价格优惠,房东急售",188,21902元/㎡
佳兆业新都汇 购物方便 房龄新 有电梯 高楼层视野无遮挡,3室1厅1卫,86.82㎡,南,高层(共41层),2014年建造,佳兆业新都汇,布吉,木棉湾,龙岗大道1号,"南,满五年,近地铁,户型方正",330,38010元/㎡
颐安都会中央 业主调价60出！！豪华装修 东南朝向 来电看房,4室2厅2卫,107.93㎡,东南,低层(共31层),2020年建造,颐安都会中央(四期),龙岗,大运,红棉路,"东南,满五年,近地铁,户型方正",364,33726元/㎡
大 运中心颐安都会中央四期！全新装三房双卫中楼层向阳来电看房,3室2厅2卫,88.57㎡,东南,低层(共31层),2022年建造,颐安都会中央(四期),龙岗,大运,红棉路,"东南,满五年,近地铁,次新房",305,34437元/㎡
豪华装修  坪山大学城  高楼层河景184平大平层四房,4室2厅2卫,184.39㎡,南北,高层(共33层),2013年建造,竹韵花园,坪山,坪山,竹坳路3号,"南北,房东发布,满五年,近地铁",313,16975元/㎡
新上笋盘！业主急售！京基天韵府 精装两房 拎包入住 看房方便,2室2厅1卫,70㎡,西南,中层(共62层),2022年建造,京基天韵府,罗湖,布心,东晓路3028号,"西南,近地铁,次新房",290,41429元/㎡
虧350 ！现3 XX万  ！低上套成交60万！现精装自住！,4室2厅2卫,96.63㎡,南,中层(共19层),2002年建造,丽景城,宝安,西乡,前进二路100号,"南,热门小区,近地铁,房东急售",425,43983元/㎡
南山一手海景现房，精装交楼 东南朝向 低总价，欢迎随时咨询,2室2厅2卫,96㎡,南,,2026年建造,桑泰山海丹华,南山,蛇口,少帝路与赤湾七路交汇,"主卧套房,厨卫全明,卧室全朝南,多轨交",653,68021元/㎡
沙头角精装3房核心商圈海山地铁口好户型满5年,3室2厅2卫,89.31㎡,西南,中层(共26层),2016年建造,上善梧桐苑,盐田,沙头角,海山路98号,"西南,唯一住房,近地铁,绿化率高",388,43445元/㎡
观澜 小三房 停车方便 正规商品房 中间好楼层 朝南,3室2厅2卫,82.78㎡,南,高层(共32层),2018年建造,珑门,龙华,观澜,新丹路88号,"南,满二年,车位充足,户型方正",265,32013元/㎡
地铁口物业 招商桃花园精装3房 业主诚心出售 看房方便,3室2厅1卫,90㎡,南北,高层(共18层),2006年建造,招商桃花园,南山,蛇口,工业八路305号,"南北,有电梯,近地铁,绿化率高",680,75556元/㎡
换房急出，海景花园新装修大三房高楼层南向看海景,3室2厅2卫,113.19㎡,东南,高层(共33层),1992年建造,海景花园(南山),南山,华侨城,光侨街8号,"东南,满五年,近地铁,采光较好",630,55659元/㎡
云玺次新小区，楼下地铁口，商业，全新设计和装修，业主诚心卖,3室2厅2卫,117.77㎡,南,低层(共33层),2019年建造,云玺锦庭,宝安,宝安中心区,甲岸路6-55号,"南,热门小区,近地铁,价格优惠",1268,107668元/㎡
香蜜三村 双卫 出行方便 满五 医疗配套成熟 刚需小三居,3室2厅2卫,99㎡,北,中层(共18层),1995年建造,香蜜三村,福田,景田南,景田南四街30号,"北,有电梯,近地铁,户型方正",380,38384元/㎡
华侨城大花园社区，电梯房，看人工湖和世界之窗，价格可谈,3室2厅2卫,123㎡,南北,中层(共33层),1993年建造,东方花园,南山,华侨城,深南大道9017号,"南北,近地铁,绿化率高",640,52033元/㎡
荔园大厦大三房，精装修几十个,3室2厅1卫,86.09㎡,南,低层(共23层),1995年建造,荔园大厦,南山,南山中心区,桂庙路24号,"南,满五年,近地铁,多人关注",459,53317元/㎡
华润城润玺(一期) 近医院 车位充足 中间楼层采光好,3室2厅1卫,98.85㎡,西南,中层(共62层),2022年建造,华润城润玺(一期),南山,大冲,沙河西路,"西南,满五年,近地铁,车位充足",1250,126455元/㎡
苏豪名厦 医疗配套成熟 满五   购物方便 楼层好 带电梯,2室2厅1卫,65.62㎡,南,中层(共29层),2000年建造,苏豪名厦,南山,南头,南新路2098号,"南,满二年,近地铁,采光较好",245,37337元/㎡
（  推荐）1月新价162 等同新房 高楼层70年产权通燃气,1室1厅1卫,44.39㎡,西,高层(共58层),2022年建造,京基水贝时代广场(商住楼),罗湖,水贝,水贝一路,"经纪人力荐,西,热门小区,配套成熟",162,36495元/㎡
88平赠送6平  花园 豪华装修三房两卫 诚意出售,3室2厅2卫,86.95㎡,南,中层(共41层),2015年建造,恒大国香山,布吉,沙湾,沙平北路92号,"南,满五年,车位充足",285,32778元/㎡
新上房源！业主急出可谈！枢纽站地铁口大三房南北通透安静看花园,3室2厅2卫,88.96㎡,南,低层(共29层),2019年建造,颐安都会中央(三期),龙岗,大运,龙飞大道,"南,满五年,近地铁,车位充足",324,36421元/㎡
豪装修 地铁口 急卖！！！看房方便  南北通透 采光好,1室1厅1卫,42.4㎡,南,中层(共22层),2005年建造,尚书苑,福田,下梅林,梅林路110号,"南,满五年,近地铁,户型方正",236,55661元/㎡
诚心卖！33X！福外南中小护航，小高层南向两房！近福保站！,2室2厅1卫,72.23㎡,南,中层(共18层),2000年建造,朗庭豪园,福田,保税区,桂花路7号,"南,满五年,近地铁,采光较好",360,49841元/㎡
绿景虹湾 双卫 停车方便 高楼层视野无遮挡 小区新 装修好,3室2厅2卫,85.59㎡,南北,高层(共44层),2017年建造,绿景虹湾,福田,下梅林,北环大道6098号,"南北,满五年,近地铁,车位充足",644,75243元/㎡
颐安都会中央三期 精装三房 朝南看花园 来电急售 有钥匙,3室2厅2卫,85㎡,东南,中层(共32层),2022年建造,颐安都会中央(三期),龙岗,大运,龙飞大道,"东南,热门小区,近地铁,房东急售",313,36824元/㎡
龙华中心业主急售，看房随时，,3室2厅2卫,82㎡,南,中层(共56层),2025年建造,鸿荣源尚云,龙华,锦绣江南,龙峰一路,"南,房东认证,唯一住房,近地铁",425,51830元/㎡
观澜鹭湖中心 鹏瑞颐景府三房精装 坂田 华为富士康 交通便捷,3室2厅2卫,89.91㎡,东南,中层(共32层),2021年建造,鹏瑞颐璟府,龙华,观澜,"五和大道,近澜清一路","东南,房东发布,满五年,近地铁",335,37260元/㎡
中海寰宇新出精装三房交付标准未入住过看房方便,3室2厅2卫,89.64㎡,南北,低层(共36层),2020年建造,中海寰宇时代,光明,光明,明政路,"南北,满五年,近地铁,次新房",395,44066元/㎡
幸福里95平 两房620万业主诚心卖,2室2厅2卫,95.02㎡,北,低层(共48层),2009年建造,幸福里,罗湖,蔡屋围,宝安南路1661号,"北,满二年,近地铁,车位充足",620,65250元/㎡
清盘180万 买南山深圳湾新房 看海景 带燃气 双面采光,2室2厅1卫,60㎡,南,,2027年建造,望海玥(新房),南山,蛇口,望海路与湾厦路交会处,"卧室全朝南,厨卫全明,私密性好,多轨交",452,75334元/㎡
红山89平实用   ，  住家4房,4室2厅2卫,86.36㎡,西南,低层(共38层),2016年建造,星河传奇,龙华,民治,民塘路,"西南,热门小区,近地铁,配套成熟",720,83372元/㎡
宝安中心区3字头电梯三房联系乐有家韩进进衍,3室2厅2卫,92.5㎡,南北,高层(共13层),2001年建造,金成名苑,宝安,宝安中心区,宝安大道2066号,"南北,满五年,近地铁,车位充足",359,38811元/㎡
568，地铁口，次新房，南北通透户型，业主急售，可谈价,4室2厅2卫,115㎡,南北,低层(共47层),2022年建造,万科大都会家园,宝安,新安,"建安一路,近裕安二路","南北,唯一住房,近地铁,车位充足",658,57218元/㎡
国华大厦~电梯房~正规3居室~带独立客厅~出行方便~有钥匙,3室2厅2卫,85㎡,东南,高层(共30层),2016年建造,国华大厦,福田,香蜜湖,侨香三道2号,"东南,满五年,近地铁,多人关注",250,29412元/㎡
龙华壹方城旁 居家大三房 双地铁口 急售,3室2厅1卫,90.04㎡,南北,高层(共7层),2001年建造,风和日丽花园,龙华,锦绣江南,龙华人民路3186号,"南北,满五年,近地铁",300,33319元/㎡
新上笋盘，总监  ！！业主诚意出售，福外本部  空置,4室2厅2卫,99.18㎡,东,高层(共6层),1998年建造,天健花园(福田),福田,景田北,景田北六街2号,"东,满二年,近地铁,绿化率高",965,97298元/㎡
7XX可出！   ，朝南中楼层，采光佳，近地铁，诚售,3室2厅1卫,90.64㎡,南,中层(共35层),2011年建造,侨香村,福田,香蜜湖,安托山九路1号,"南,热门小区,房东急售,随时可看",805,88813元/㎡
实拍鸿荣源珈誉府2区3房，总260卖，送全屋家私家电，可看房,3室2厅2卫,95㎡,南北,高层(共48层),2023年建造,鸿荣源珈誉府2区,宝安,塘尾,宝安大道,"南北,满二年,近地铁,次新房",350,36843元/㎡
丽景城大三房，看小区花园，南向采光好，实用率高！,3室2厅2卫,96.81㎡,南,高层(共7层),2002年建造,丽景城,宝安,西乡,前进二路100号,"南,满五年,近地铁,绿化率高",425,43901元/㎡
实拍璟荟名庭3房，一百六出手，送家私电，红本住宅，楼下地铁口,3室2厅2卫,79㎡,南北,高层(共26层),2022年建造,璟荟名庭,宝安,松岗,福祥路,"南北,满五年,次新房,人气热搜",228,28861元/㎡
御龙天地 有电梯 次新小区 双卫格局 医疗配套成熟 临地铁,3室2厅2卫,119㎡,东南,高层(共55层),2025年建造,御龙天地,罗湖,翠竹,华丽路,"东南,满五年,近地铁,次新房",658,55295元/㎡
溪山君樾 龙华北站精装现房 带大露台，单价6万,4室2厅2卫,173㎡,南北,,2024年建造,溪山君樾,龙岗,坂田,银湖山麓梅坂大道236号,"主卧套房,客餐厅相连,厨卫全明,多轨交",1302,75261元/㎡
自己家里的房子看房，找我看房方便。,3室2厅1卫,86.55㎡,南北,低层(共54层),2022年建造,京基水贝时代广场,罗湖,水贝,水贝一路,"南北,热门小区,新上小区,随时可看",628,72560元/㎡
悦城（内部268）急售送10平  带车位 宝中外   急售,3室2厅2卫,87㎡,南,低层(共32层),2018年建造,拾悦城,宝安,沙井,宝安大道8181号,"南,满五年,近地铁,车位充足",290,33334元/㎡
深高北  高楼层采光好 超高使用率 业主装修好自己都没住,4室2厅2卫,93.5㎡,南北,高层(共32层),2019年建造,金亨利瑜璟苑,龙华,深圳北站,白松一路118号,"南北,满五年,近地铁",1250,133690元/㎡
溪山美地园 临地铁 双卫生间 南向采光好 产权清晰 电梯房,4室2厅2卫,142.88㎡,南,低层(共31层),2009年建造,溪山美地园,龙华,梅林关口,梅坂大道236号,"南,满五年,近地铁",868,60751元/㎡
万科城(别墅) 近医院 近地铁 密度低 停车方便 中间楼层,4室2厅3卫,157㎡,南,共1层,2007年建造,万科城(别墅),龙岗,万科城,坂雪岗大道,"南,满五年,近地铁,车位充足",880,56051元/㎡
东方盛世花园，业主诚意出售两房，居住舒适，看房方便,2室2厅1卫,67.61㎡,东南,低层(共18层),2008年建造,东方盛世花园,布吉,布吉关,龙岗大道,"东南,房东发布,近地铁,采光较好",230,34019元/㎡
的存在，代号468地铁口社区，楼下天虹商圈业主无条件配合,3室2厅2卫,87.64㎡,西南,中层(共28层),2012年建造,合正汇一城,宝安,西乡,"新湖路,近悦和路","西南,热门小区,近地铁,价格优惠",515,58764元/㎡
福田2019年次新海景三房！绿景物业，高端品质，车位1:2,3室2厅1卫,83.79㎡,西南,中层(共42层),2018年建造,绿景红树湾壹号,福田,沙嘴,沙嘴路8号,"西南,满五年,近地铁,车位充足",758,90465元/㎡
我的老业主，只要你诚心买，价格好谈）红本满五，看房方便,3室2厅1卫,88.97㎡,南北,高层(共8层),2000年建造,太明居,罗湖,翠竹,太安路182号,"南北,房东发布,满五年,近地铁",320,35968元/㎡
香蜜湖 次新豪宅天健天骄大三房，采光视野好，诚心出售,4室2厅3卫,123.21㎡,东南,中层(共45层),2019年建造,天健天骄,福田,景田北,"景田西路,近商报路","东南,有电梯,近地铁",1236,100317元/㎡
罗湖22年次新花园社区  二百多万买两房 精装,2室2厅1卫,60.97㎡,南北,中层(共51层),2022年建造,悦峰华府,罗湖,草埔,木棉岭路4号,"南北,满五年,近地铁,次新房",236,38708元/㎡
